айди_студента,айди_уровня,айди_направления,айди_типа_обучения,фамилия,имя,отчество,средний_балл
1,1,1,1,Иванов,Иван,Иванович,5
2,1,1,1,Петров,Петр,Петрович,4
3,1,1,1,Сидорова,Мария,Алексеевна,5
4,1,1,1,Козлов,Алексей,Андреевич,4
5,1,1,1,Васильева,Ольга,Сергеевна,5
6,1,1,1,Новикова,Анна,Владимировна,4
7,1,1,2,Морозов,Дмитрий,Игоревич,4
8,1,2,1,Волкова,Екатерина,Александровна,4
9,2,2,3,Соколов,Андрей,Николаевич,3
10,2,3,1,Кузнецова,Татьяна,Михайловна,4
11,2,3,2,Павлов,Илья,Дмитриевич,4
12,1,4,1,Егорова,Светлана,Павловна,4
13,1,2,1,Иванов,Сергей,Иванович,4
14,1,1,1,Петрова,Елена,Ивановна,4
15,1,3,1,Иванов,Иван,Иванович,4
